,resId,siteNo,hiveNo,frameNo,hour,paramText,anMethText,resVal,resUnit,resUnit_desc,resValUncert,resValUncertSD,resQualValue,date
153165,CW210719,3,1,,23,Colony weight,Automatic recording,24.0,G167A,Kilogram,,,,2019-10-06 23:00:00
153166,CW210718,3,1,,21,Colony weight,Automatic recording,24.0,G167A,Kilogram,,,,2019-10-06 21:00:00
153167,CW210717,3,1,,20,Colony weight,Automatic recording,24.0,G167A,Kilogram,,,,2019-10-06 20:00:00
153168,CW210715,3,1,,18,Colony weight,Automatic recording,24.0,G167A,Kilogram,,,,2019-10-06 18:00:00
153169,CW210714,3,1,,17,Colony weight,Automatic recording,24.0,G167A,Kilogram,,,,2019-10-06 17:00:00
153170,CW210713,3,1,,16,Colony weight,Automatic recording,24.0,G167A,Kilogram,,,,2019-10-06 16:00:00
153171,CW210711,3,1,,14,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-06 14:00:00
153172,CW210710,3,1,,13,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-06 13:00:00
153173,CW210709,3,1,,12,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-06 12:00:00
153174,CW210708,3,1,,11,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-06 11:00:00
153175,CW210707,3,1,,10,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-06 10:00:00
153176,CW210706,3,1,,9,Colony weight,Automatic recording,24.2,G167A,Kilogram,,,,2019-10-06 09:00:00
153177,CW210705,3,1,,8,Colony weight,Automatic recording,24.2,G167A,Kilogram,,,,2019-10-06 08:00:00
153178,CW210703,3,1,,6,Colony weight,Automatic recording,24.2,G167A,Kilogram,,,,2019-10-06 06:00:00
153179,CW210702,3,1,,5,Colony weight,Automatic recording,24.2,G167A,Kilogram,,,,2019-10-06 05:00:00
153180,CW210701,3,1,,4,Colony weight,Automatic recording,24.2,G167A,Kilogram,,,,2019-10-06 04:00:00
153181,CW210699,3,1,,1,Colony weight,Automatic recording,24.2,G167A,Kilogram,,,,2019-10-06 01:00:00
153182,CW210698,3,1,,0,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-06 00:00:00
153183,CW210697,3,1,,23,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-05 23:00:00
153184,CW210695,3,1,,21,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-05 21:00:00
153185,CW210694,3,1,,20,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-05 20:00:00
153186,CW210693,3,1,,19,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-05 19:00:00
153187,CW210692,3,1,,18,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-05 18:00:00
153188,CW210691,3,1,,17,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-05 17:00:00
153189,CW210690,3,1,,16,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-05 16:00:00
153190,CW210689,3,1,,15,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-05 15:00:00
153191,CW210687,3,1,,13,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-05 13:00:00
153192,CW210686,3,1,,12,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-05 12:00:00
153193,CW210685,3,1,,11,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-05 11:00:00
153194,CW210683,3,1,,9,Colony weight,Automatic recording,24.2,G167A,Kilogram,,,,2019-10-05 09:00:00
153195,CW210682,3,1,,8,Colony weight,Automatic recording,24.2,G167A,Kilogram,,,,2019-10-05 08:00:00
153196,CW210681,3,1,,7,Colony weight,Automatic recording,24.2,G167A,Kilogram,,,,2019-10-05 07:00:00
153197,CW210679,3,1,,4,Colony weight,Automatic recording,24.2,G167A,Kilogram,,,,2019-10-05 04:00:00
153198,CW210678,3,1,,3,Colony weight,Automatic recording,24.2,G167A,Kilogram,,,,2019-10-05 03:00:00
